,005930.KS,009540.KS,034020.KS,105560.KS,005380.KS,005490.KS,207940.KS,090430.KS,035420.KS
2020-02-26,48488.5078125,102557.0390625,4650.25146484375,29269.955078125,97397.3515625,159619.78125,730265.5,164737.90625,181728.609375
2020-02-27,47973.58984375,102082.2421875,4596.283203125,29532.294921875,96204.7421875,158821.6875,730265.5,161856.1875,176869.5625
2020-02-28,46514.6484375,98758.6328125,4506.33642578125,29157.521484375,91434.265625,156028.34375,705162.625,154651.921875,169095.0625
2020-03-02,47201.2109375,99233.4375,4456.86572265625,28782.748046875,90241.6328125,152835.875,710487.4375,159935.046875,170066.875
2020-03-03,47544.48828125,98283.8359375,4488.34716796875,28557.876953125,89446.5625,153234.921875,729504.8125,157533.625,170066.875
2020-03-04,49260.890625,100657.8359375,4488.34716796875,29195.0,89844.1015625,154831.140625,743957.9375,160415.34375,173468.203125
2020-03-05,49604.1640625,104931.046875,4569.29931640625,29007.609375,90639.1875,157225.46875,755368.375,165698.5,175897.734375
2020-03-06,48488.5078125,101132.6328125,4479.3525390625,28070.67578125,87856.40625,153234.921875,747000.75,162336.484375,174440.046875
2020-03-09,48488.5078125,101132.6328125,4479.3525390625,28070.67578125,87856.40625,153234.921875,751564.875,162336.484375,174440.046875
2020-03-10,46857.93359375,91446.6953125,4110.5703125,26346.712890625,81098.2109375,144056.84375,754607.6875,160415.34375,167151.453125
2020-03-11,44712.421875,90687.015625,3229.09130859375,26459.140625,79508.0546875,143258.71875,736351.0,152730.78125,165207.84375
2020-03-12,44712.421875,90687.015625,3229.09130859375,26459.140625,79508.0546875,143258.71875,734829.625,152730.78125,165207.84375
2020-03-13,42867.2734375,76822.8203125,2792.84912109375,24660.220703125,69331.0234375,136474.890625,694512.875,145046.203125,161320.59375
2020-03-16,41966.16015625,72739.53125,2594.966064453125,24060.572265625,65912.1796875,129292.0,654196.1875,141684.1875,150630.671875
2020-03-17,40593.046875,74638.734375,2797.346435546875,22374.08984375,63685.953125,124104.34375,635178.8125,148888.5,146743.421875
2020-03-18,39134.09765625,68276.40625,2603.9609375,21774.443359375,58438.41796875,117719.5703125,609315.25,153691.34375,141884.375
2020-03-19,36859.86328125,62958.62890625,2379.09375,19525.79296875,52395.8046875,111334.78125,556827.4375,153211.046875,139940.75
2020-03-20,38962.44140625,73119.3671875,2392.585693359375,23123.638671875,56530.23046875,115325.2734375,654196.1875,158974.46875,149658.859375
2020-03-23,36473.65625,65142.71484375,2221.686767578125,20725.080078125,54781.05078125,110137.6171875,663324.5,153211.046875,138968.953125
2020-03-24,40292.671875,70175.609375,2523.0087890625,21849.404296875,59472.01953125,116123.359375,724179.9375,164257.625,151602.484375
2020-03-25,41751.61328125,75018.5703125,2752.373046875,23985.62890625,67184.3203125,128493.8984375,722658.5625,170501.34375,151602.484375
2020-03-26,41022.140625,73784.09375,2932.266845703125,24660.220703125,67502.3359375,124104.34375,694512.875,170981.59375,148201.140625
2020-03-27,41451.25,73404.2578125,3229.09130859375,26796.435546875,68694.9609375,130489.171875,673974.1875,165218.171875,159376.984375
2020-03-30,41368.25,72454.6484375,3071.684326171875,26046.890625,67899.875,128878.1640625,684623.875,162336.484375,157919.25
2020-03-31,41281.79296875,74638.734375,3071.684326171875,25896.9765625,70523.6484375,129683.671875,733308.25,161856.1875,165207.84375
2020-04-01,39595.93359375,72549.609375,3224.593994140625,23685.80078125,67899.875,124850.7578125,688427.375,151770.1875,158405.15625
2020-04-02,40460.47265625,75303.4609375,3215.599365234375,23760.759765625,68853.9765625,125656.2265625,706684.0,155132.203125,168609.171875
2020-04-03,40633.38671875,72739.53125,3346.022216796875,23348.5,68615.4453125,126461.734375,711248.125,154651.921875,167151.453125
2020-04-06,42103.1015625,76632.90625,3373.00634765625,24622.740234375,70603.15625,129683.671875,725701.3125,160415.34375,168123.265625
2020-04-07,42881.19140625,77392.578125,3386.498291015625,24810.130859375,71875.2890625,130086.4140625,734068.9375,163297.046875,164721.921875
2020-04-08,42016.64453125,75493.375,3355.016845703125,24060.572265625,71557.2578125,129683.671875,726462.0,164737.90625,161806.484375
2020-04-09,42448.921875,79386.75,3458.455810546875,24360.3984375,77202.3203125,132502.890625,727983.375,164737.90625,162778.3125
2020-04-10,42578.6015625,81096.0234375,3561.89453125,25222.384765625,79269.5625,143376.9375,850455.0,165218.171875,161806.484375
2020-04-13,41757.2890625,76727.859375,3588.878662109375,24397.875,77758.875,145793.390625,820027.3125,164737.90625,161320.59375
2020-04-14,42362.453125,78247.2265625,3669.830810546875,24885.0859375,79508.0546875,147404.375,824591.4375,165218.171875,163750.125
2020-04-16,42362.453125,75968.1796875,3359.51416015625,23910.66796875,78792.4921875,141765.953125,821548.6875,165698.5,165693.71875
2020-04-17,44437.3671875,77867.3828125,3435.968994140625,24247.96875,79905.59375,141765.953125,861104.6875,173383.03125,173954.125
2020-04-20,43313.46484375,76917.78125,3678.825439453125,23910.66796875,77599.8671875,141363.265625,861104.6875,170021.046875,174925.953125
2020-04-21,42578.6015625,73119.3671875,3633.85205078125,23760.759765625,74340.03125,137738.515625,880882.75,165218.171875,173468.203125
2020-04-22,43097.3203125,71884.8828125,3584.38134765625,23610.845703125,73624.4453125,136933.046875,882404.125,168099.890625,176869.5625
2020-04-23,43097.3203125,73404.2578125,3516.921142578125,23460.939453125,73465.453125,138141.3125,914353.25,169540.75,184644.046875
2020-04-24,42665.0546875,72549.609375,3373.00634765625,23311.025390625,71636.7578125,139349.515625,899139.375,164257.625,187073.578125
2020-04-27,43097.3203125,73404.2578125,3449.461181640625,25634.630859375,72829.3671875,140155.0,894575.1875,164737.90625,191932.625
2020-04-28,43313.46484375,73499.21875,3539.407958984375,25597.158203125,74101.5,142974.1875,894575.1875,169060.46875,192418.53125
2020-04-29,43227.015625,78532.1015625,3593.3759765625,26046.890625,74419.53125,148612.65625,883925.5,170021.046875,191932.625
2020-05-04,41930.19140625,75208.5,3521.41845703125,24735.173828125,72749.8671875,143779.6875,845890.875,167619.609375,193390.34375
2020-05-06,42535.37109375,78247.2265625,3525.916015625,24510.306640625,74101.5,144987.96875,874797.1875,170981.59375,206023.90625
2020-05-07,42189.546875,77962.34375,3525.916015625,24322.919921875,73624.4453125,144585.203125,862626.125,172422.484375,209425.21875
2020-05-08,42189.546875,77582.5078125,3534.91064453125,24585.263671875,75135.109375,144987.96875,894575.1875,174343.609375,207967.484375
2020-05-11,41843.73828125,75873.21875,3543.9052734375,24098.0546875,74499.0390625,141765.953125,891532.4375,168580.203125,208453.40625
2020-05-12,41411.47265625,74258.8984375,3453.95849609375,23648.326171875,73067.890625,136933.046875,900660.75,165218.171875,213312.484375
2020-05-13,41973.421875,74068.9765625,3512.423828125,23573.37109375,74021.9921875,139349.515625,937174.0625,168099.890625,212340.65625
2020-05-14,41497.9375,72834.4921875,3516.921142578125,23198.6015625,73385.9375,135322.09375,931088.5,169060.46875,212826.5625
2020-05-15,41368.25,74448.8125,3521.41845703125,23573.37109375,73385.9375,135322.09375,920438.8125,163777.34375,206995.6875
2020-05-18,42189.546875,74448.8125,3489.937255859375,23236.07421875,73067.890625,136127.59375,908267.6875,165218.171875,208939.328125
2020-05-19,43486.3671875,77297.6171875,3651.841552734375,23948.14453125,78792.4921875,143376.9375,912831.875,170021.046875,207481.609375
2020-05-20,43227.015625,76253.0625,3593.3759765625,24023.099609375,77361.328125,140557.75,912831.875,168099.890625,215741.984375
2020-05-21,43183.78125,78057.3046875,3701.312255859375,23985.62890625,77281.8046875,142571.46875,926524.3125,168099.890625,218657.4375
2020-05-22,42146.3359375,75873.21875,3552.89990234375,23311.025390625,75135.109375,138544.046875,940216.8125,163297.046875,224002.390625
