ticker,entry_date,exit_date,hold_days,entry_price,exit_price,return_pct,exit_reason
005930.KS,2022-11-03,2022-11-30,20,55104.0,57896.0,5.07,force_liquidate
035420.KS,2022-12-06,2023-01-03,20,181597.0,174745.0,-3.77,force_liquidate
009540.KS,2023-01-31,2023-02-13,10,75588.0,79957.0,5.78,secretary_trigger
034020.KS,2023-01-31,2023-02-15,12,16700.0,15320.0,-8.26,stop_loss
090430.KS,2023-03-22,2023-03-31,8,123759.0,133308.0,7.72,secretary_trigger
105560.KS,2023-03-24,2023-04-04,8,40993.0,42049.0,2.58,secretary_trigger
005930.KS,2023-04-07,2023-05-08,20,61233.0,62081.0,1.38,force_liquidate
207940.KS,2023-04-11,2023-05-10,20,1248479.0,1199278.0,-3.94,force_liquidate
034020.KS,2023-05-17,2023-06-02,12,15770.0,16440.0,4.25,secretary_trigger
105560.KS,2023-05-11,2023-06-09,20,43326.0,43546.0,0.51,force_liquidate
090430.KS,2023-05-30,2023-06-27,20,106998.0,99299.0,-7.19,force_liquidate
090430.KS,2023-06-29,2023-07-11,9,95499.0,96278.0,0.82,secretary_trigger
207940.KS,2023-07-07,2023-07-27,15,1105488.0,1216191.0,10.01,secretary_trigger
105560.KS,2023-07-27,2023-08-24,20,46015.0,47350.0,2.9,secretary_trigger
035420.KS,2023-07-31,2023-08-28,20,222724.0,209479.0,-5.95,force_liquidate
009540.KS,2023-09-27,2023-10-06,4,105406.0,95625.0,-9.28,stop_loss
005490.KS,2023-10-12,2023-10-20,7,482192.0,421686.0,-12.55,stop_loss
005380.KS,2023-10-17,2023-10-30,10,165338.0,151304.0,-8.49,stop_loss
009540.KS,2023-10-06,2023-10-31,17,95625.0,85749.0,-10.33,stop_loss
005490.KS,2023-10-20,2023-10-31,8,421686.0,383054.0,-9.16,stop_loss
035420.KS,2023-10-12,2023-11-03,17,189953.0,196723.0,3.56,secretary_trigger
005930.KS,2023-10-18,2023-11-06,14,67095.0,67475.0,0.57,secretary_trigger
005490.KS,2023-10-31,2023-11-06,5,383054.0,485916.0,26.85,take_profit
005930.KS,2023-11-06,2023-11-15,8,67475.0,68713.0,1.83,secretary_trigger
009540.KS,2023-10-31,2023-11-22,17,85749.0,97809.0,14.06,secretary_trigger
035420.KS,2023-11-29,2023-12-08,8,203592.0,213403.0,4.82,secretary_trigger
207940.KS,2023-11-28,2023-12-26,20,1117789.0,1110101.0,-0.69,force_liquidate
005380.KS,2023-12-12,2023-12-28,12,162794.0,178495.0,9.64,secretary_trigger
034020.KS,2023-12-11,2024-01-02,14,15510.0,16010.0,3.22,secretary_trigger
005490.KS,2023-12-26,2024-01-17,15,440768.0,390036.0,-11.51,stop_loss
034020.KS,2024-02-23,2024-03-11,11,16350.0,16720.0,2.26,secretary_trigger
090430.KS,2024-03-05,2024-03-22,14,111535.0,113889.0,2.11,secretary_trigger
005930.KS,2024-03-26,2024-04-04,8,76401.0,81935.0,7.24,secretary_trigger
005490.KS,2024-03-27,2024-04-15,13,400760.0,367795.0,-8.23,stop_loss
035420.KS,2024-06-12,2024-07-08,19,165836.0,167904.0,1.25,secretary_trigger
090430.KS,2024-07-12,2024-07-24,9,151853.0,175592.0,15.63,secretary_trigger
005490.KS,2024-07-24,2024-08-05,9,328610.0,298262.0,-9.24,stop_loss
005380.KS,2024-08-02,2024-08-05,2,225220.0,206760.0,-8.2,stop_loss
035420.KS,2024-08-02,2024-08-05,2,168790.0,153723.0,-8.93,stop_loss
005380.KS,2024-08-05,2024-08-16,9,206760.0,235374.0,13.84,secretary_trigger
005380.KS,2024-09-04,2024-09-13,8,214605.0,218759.0,1.94,secretary_trigger
105560.KS,2024-09-25,2024-10-08,8,73460.0,84920.0,15.6,secretary_trigger
005930.KS,2024-09-26,2024-10-10,8,62425.0,57148.0,-8.45,stop_loss
005490.KS,2024-09-26,2024-10-16,12,363226.0,331724.0,-8.67,stop_loss
090430.KS,2024-10-04,2024-10-25,15,129094.0,115067.0,-10.87,stop_loss
105560.KS,2024-10-16,2024-10-25,8,90620.0,95939.0,5.87,secretary_trigger
034020.KS,2024-10-17,2024-10-28,8,21150.0,21400.0,1.18,secretary_trigger
005380.KS,2024-10-17,2024-10-31,11,219066.0,199997.0,-8.7,stop_loss
009540.KS,2024-10-17,2024-11-01,12,187262.0,170928.0,-8.72,stop_loss
090430.KS,2024-10-25,2024-11-05,8,115067.0,124582.0,8.27,secretary_trigger
005930.KS,2024-10-10,2024-11-06,20,57148.0,55595.0,-2.72,force_liquidate
035420.KS,2024-10-15,2024-11-07,18,172532.0,176964.0,2.57,secretary_trigger
005380.KS,2024-11-15,2024-11-26,8,191625.0,207904.0,8.5,secretary_trigger
090430.KS,2024-11-21,2024-12-03,9,106728.0,107415.0,0.64,secretary_trigger
090430.KS,2024-12-06,2025-01-06,19,100843.0,113595.0,12.65,secretary_trigger
034020.KS,2024-12-18,2025-01-06,11,18060.0,18630.0,3.16,secretary_trigger
005490.KS,2024-12-17,2025-01-16,20,252015.0,250106.0,-0.76,force_liquidate
005380.KS,2025-01-16,2025-02-04,10,203718.0,186974.0,-8.22,stop_loss
005930.KS,2025-02-03,2025-02-12,8,49820.0,54509.0,9.41,secretary_trigger
005930.KS,2025-02-20,2025-03-07,11,57049.0,52458.0,-8.05,stop_loss
105560.KS,2025-02-28,2025-03-17,11,75118.0,75693.0,0.77,secretary_trigger
009540.KS,2025-04-07,2025-04-17,9,180964.0,223532.0,23.52,secretary_trigger
035420.KS,2025-04-07,2025-04-22,12,189806.0,191686.0,0.99,secretary_trigger
090430.KS,2025-04-09,2025-04-24,12,100331.0,116392.0,16.01,secretary_trigger
005380.KS,2025-04-04,2025-04-29,18,183795.0,184753.0,0.52,secretary_trigger
005930.KS,2025-06-10,2025-06-24,11,58174.0,59451.0,2.2,secretary_trigger
005490.KS,2025-06-25,2025-06-27,3,262281.0,253036.0,-3.53,force_liquidate
